Channel_name,Subscribers,Views,Total_videos,Playlist_id
DIANA BAHATI,1140000,230800950,857,UU0UslOx9EYxnk_4SFSHj8hA
UpSyd Digital Networks,84500,11605701,670,UUE3KVkSH1GwUtAAMcVcJ3QQ
Obinna TV Extra,374000,54806166,1207,UU_9xRXWjRrz_Jy7SWhUnBBw
JACKIE MATUBIA TV,299000,22366622,212,UUUKnloR_w6diioiPavmH8qw
Abel Mutua,691000,120993602,475,UU4tjY2tTltEKePusozUxtSA
Dr Ofweneke TV,108000,5717008,277,UUqWSW6zEdoEv_0p5Vw-uLZQ
Henry DeSagu,680000,106921485,633,UU7MGnWilDcg157op0eKI1Tg
3MenArmy Kenya,227000,31411462,862,UUhQXn6sL9ENIpA74qqPG1HA
Eddie Butita,352000,33653349,86,UUlkXE1xfSwdx07G_MkFgQGA
Alex Kasau Katombi,506000,108941759,153,UUWFv8hpX1Xj03kJFsP9MmRA
Flaqo Raz,801000,146252983,259,UUjG66-ryVCszrs7k_Y2pn3Q
Iko Nini Podcast,149000,37217539,2987,UU5h4-WH0LAV4CWs380yM33A
Thee Pluto Show,973000,253524662,1205,UUMMmy64_0rySSPUu0xohuCQ
Crazy Kennar,666000,169648267,631,UUiXj0BfxM0WQGFr9mxdR0qg
NJUGUSH TV,669000,109207189,897,UUkV3t4uxBsi8jYj3wjqooeQ
King Kaka,497000,54139610,406,UUGTO34YEPTNMwM3ezPCUCIQ
THE WAJESUS FAMILY,827000,183699892,843,UUHVTpHXp43Giiwag5s6o8xQ
Awinja Nyamwalo - Jacky Vike,412000,83605942,269,UUSkQTaT1wFrmPCK5d-Zr2Ng
KADUSKO Tv,555000,221464453,636,UUQfjhBlCaSwqIh3T3COfCDg
Churchill Television,2440000,752056805,5357,UU0YG5UA1s2gLb5tDfUCIWtg
Lynn Ngugi,1150000,155841368,507,UUa2gldA2ivhzMwIJRA5683w
TMI Podcast KE,136000,14123779,371,UU6fVFxrbf0HDRW3B2mdWFGA
